Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bosnia and Herzegovina,1.894913835878827,1.960967551862528,2.0442103072284334,2.248640058609657,2.3983365527427805,2.566807415075917,2.815475541679907,2.943654521193832,3.0552253812268724,3.2466063335905897,3.404656256633647,3.5920768295247125,3.8830662781944145,4.26883965507504,5.003126149837082,5.63670168050513,6.318995580808133,7.160339985235603,7.473731566577743,7.985576114114643,9.828272087845036,10.862632700938471,11.738892316125295,12.838496860604593,13.730925882732416,14.935727245683687,15.792752515147384,16.402809503903278,17.08255782015188,18.02592410468396,19.260653856357546,20.87287908552081,22.435287722105585,24.369882236275902,27.49490406475986,30.558384752099737,32.93636270893524,34.21721789341917,36.532458738902406,38.62324408220656,41.65286091922767,44.11241101096971,46.849511484700294,49.19912541630092,51.916101694053445,85.0497,90.259476,91.61407,98.41829,98.042854,100.0,103.67125,105.799286,105.70084,104.7525,103.66724,102.02514,102.851585,104.309105,104.89614,103.793365,105.85018,120.69127,128.06056
Botswana,1.7618687451106128,1.8232847184844747,1.9006828598453762,2.0907592541961866,2.2299453054413423,2.3865875448859257,2.6177962636536507,2.736975581208753,2.840712863313803,3.0186566367955954,3.165609608642758,3.3398710675625236,3.6104296571198917,3.9691172357065594,3.038577,3.402439,3.8016279,4.3022537,4.691349,5.2419367,5.9565396,6.9350815,7.707456,8.514977,9.245347,9.993718,10.993261,12.070814,13.07893,14.592817,16.255865,18.168371,21.105762,24.130388,26.674435,29.478598,32.450882,35.28058,37.630756,40.546875,44.03451,46.92275,50.69196,55.350502,59.19498,64.2918,71.72086,76.799416,86.55462,93.50262,100.0,108.45987,116.634384,123.49786,128.93456,132.88257,136.62315,141.14304,145.71327,149.7537,152.58458,163.6332,182.72194,191.98158
Brazil,1.5501895427705625,1.6042267120815255,1.6723258765059528,1.8395655983455395,1.962029182388641,2.0998516860325838,2.3032819012661285,2.4081424547557995,2.4994162516041523,2.655981022741681,2.785278372994765,2.9386032401706133,3.176655647537799,3.4922488124598767,4.092953300455688,4.611268246286144,5.169438675631985,5.857725009773983,6.114104135299552,6.532833499185294,3.57204e-10,7.2057005e-10,1.4450553e-09,3.3962801e-09,9.921272e-09,3.234232e-08,7.993173e-08,2.6244476e-07,1.913523e-06,2.9290748e-05,0.00089270377,0.0047562066,0.050033487,1.0143694,22.071545,36.640316,42.413975,45.351868,46.800896,49.07469,52.53158,56.12493,60.86758,69.824196,74.430626,79.54367,82.87143,85.88901,90.7663,95.20298,100.0,106.63645,112.39855,119.3721,126.927216,138.38861,150.48259,155.6688,161.37381,167.39786,172.77429,187.11743,204.48212,213.87514
Brunei,4.978488415698905,5.1520306916653515,5.370733561122113,5.907829828934003,6.301125950267591,6.74374778384523,7.397071098188626,7.733834465769521,8.026963484982389,8.529776771944487,8.945019774593753,9.437427995661537,10.201941701700761,11.215480286685821,13.144663945995358,14.809250683491141,16.60183471261411,49.39792,19.635661169255318,20.980425296416428,58.38834,63.723316,67.77394,68.56431,70.67196,72.33502,73.62348,74.54146,75.43062,76.41447,78.04871,79.29749,80.312126,83.72675,85.78854,90.907234,92.72187,94.30886,93.8926,93.50236,94.95927,95.525116,93.313736,93.59368,94.35574,95.52994,95.68268,96.60867,98.62295,99.6444,100.0,100.13791,100.24983,100.64001,100.43157,99.94112,99.66259,98.40634,99.415054,99.02682,100.94826,102.698105,106.479706,106.85991
Bulgaria,1.4477593505433082,1.498225964456222,1.561825414290882,1.7180146185108973,1.832386309202716,1.9611020648316646,2.1510904424858106,2.2490222389721244,2.3342650361920194,2.480484646843579,2.601238556391194,2.744432342699362,2.9667552194678564,3.261495277297751,3.8225076666955964,4.306574478300617,4.827863285886011,5.470670470821807,5.710109111080198,6.101170549173228,7.509034208018389,8.299310378409649,8.968793616839772,9.808917706403715,10.490754757259676,0.024834862,0.025505403,0.02620078,0.026821652,0.028535256,0.03532665,0.15488937,0.29630017,0.5122402,1.0042844,1.6274915,3.6066437,41.778408,49.579357,50.855057,56.1014,60.230988,63.73049,65.227295,69.2369,72.72564,78.006676,84.56122,95.00344,97.61908,100.0,104.2199,107.29915,108.25421,106.71897,106.60731,105.75589,107.93615,110.97406,114.418396,116.33197,120.168304,138.58441,151.67072
Burkina Faso,10.713301,12.701919,12.914791,13.634687,13.886264,13.78486,14.110748,13.499223,13.460519,14.760203,15.021843,15.331476,14.883283,16.014992,17.411436,20.67729,18.940248,24.619692,26.655527,30.652115,34.392483,36.991077,41.452114,44.83202,47.00501,50.2512,48.93877,47.62634,49.653133,49.413902,49.164707,50.227943,49.227837,49.50029,61.963413,66.58517,70.6454,72.28345,75.95858,75.14384,74.915245,78.66657,80.37812,82.013466,81.68522,86.92536,88.95342,88.748276,98.208664,100.77012,100.0,102.759766,106.68329,107.2527,106.97589,107.7513,108.226524,109.83152,111.97977,108.359024,110.400986,114.43452,130.78748,131.75911
Burundi,1.5209441497275296,1.573961870634391,1.6407762974350986,1.8048609267762123,1.9250141509891232,1.4684511,1.5336043,1.5168984,1.608781,1.6735164,1.6701752,1.734493,1.8008991,1.90907,2.20922,2.5562856,2.7315586,2.9182475,3.6155806,4.9367414,5.0600867,5.6757674,6.0088267,6.49862,7.4290195,7.7116404,7.8408628,8.398602,8.77543,9.798785,10.484913,11.428234,11.636609,12.762957,14.658615,17.482342,22.10411,28.98105,32.6038,33.707577,41.94302,45.84212,45.216064,50.03043,54.12113,61.293304,62.976063,68.27365,84.937164,93.90265,100.0,109.59216,129.49525,139.77452,145.93208,154.02357,162.58372,188.68253,183.37169,182.11234,195.44498,211.87123,251.70488,319.5179
Cambodia,2.236692548956689,2.3146601333260994,2.4129170815610013,2.6542190832888997,2.8309157893305286,3.0297731280453903,3.323292619753682,3.474590775365441,3.606285265421689,3.8321849037372404,4.018741716263564,4.239966655872611,4.583440812502368,5.0387947295603315,5.905521807349641,6.653373050933637,7.458729819199861,8.451824452242406,8.821741332694454,9.425905418693086,11.600961759723896,12.82188623261286,13.856193605924664,15.154129820684053,16.207523018027114,17.629630018600146,18.641233817243595,19.36132456509358,20.163676611572765,21.27719443998171,22.73462790384294,24.637644330780923,26.481858927617193,28.765389214412743,44.8684,44.509926,47.692772,51.489216,59.11297,61.482338,60.995403,60.629036,60.757248,61.329426,63.97845,68.21079,72.1743,78.45984,97.366196,96.15718,100.0,105.47845,108.57352,111.76734,116.076744,117.497444,121.04486,124.57045,127.63374,130.11313,133.93884,137.85083,145.21718,148.30663
Cameroon,3.4824553853220888,3.60384830282184,3.756831080309768,4.132530215087273,4.407641068302379,4.7172552843650255,5.174255302124881,5.409821462992738,7.524801,7.4419084,7.8778615,8.194081,8.857222,9.777022,11.461889,13.015357,14.307867,16.410881,18.456179,19.670708,21.549604,23.86134,27.024641,31.51917,35.103947,38.09072,41.05038,46.444607,47.22596,46.4394,46.949944,46.978138,46.970596,45.46446,61.419968,66.99057,69.619316,72.95147,75.26458,76.67334,77.614265,81.04464,83.34179,83.861145,84.05708,85.7496,90.13791,90.96844,95.82416,98.74068,100.0,102.9397,105.75541,107.92376,109.92564,112.8675,113.85418,114.58331,115.808044,118.64859,121.54078,124.30201,132.068,141.81833
Canada,13.344304,13.480252,13.623354,13.845163,14.109902,14.439038,14.989983,15.526617,16.156267,16.893246,17.4585,17.930738,18.825129,20.234688,22.45993,24.856897,26.73154,28.863766,31.45392,34.33028,37.80767,42.522896,47.102177,49.86405,52.01059,54.071266,56.33944,58.793648,61.16199,64.210075,67.279625,71.06468,72.12364,73.4688,73.59044,75.17172,76.35232,77.59016,78.36291,79.72238,81.89038,83.95821,85.854324,88.222664,89.86119,91.85031,93.68918,95.69262,97.96079,98.25415,100.0,102.91213,104.471954,105.4522,107.46279,108.67201,110.22467,111.98483,114.5249,116.7573,117.594444,121.587006,129.85832,134.89554
